,Game,Price,Owners,dlc_cost,number_of_reviews,user_rating,Release_date,"1,000,000-2,000,000","100,000-200,000","20,000-50,000","200,000-500,000","50,000-100,000","500,000-1,000,000"
0,Friday the 13th: Killer Puzzle,0.0,"100,000 .. 200,000",18.89,1184,95,2018-04-12,0,1,0,0,0,0
1,Radical Heights,0.0,"1,000,000 .. 2,000,000",14.99,7365,57,2018-04-10,1,0,0,0,0,0
2,Farm Manager 2018,19.99,"20,000 .. 50,000",12.95,276,62,2018-04-06,0,0,1,0,0,0
3,Mirror,1.19,"200,000 .. 500,000",2.38,982,96,2018-04-19,0,0,0,1,0,0
4,Minit,9.99,"0 .. 20,000",0.0,221,94,2018-04-03,0,0,0,0,0,0
5,Welcome to the Game II,9.99,"0 .. 20,000",0.0,389,79,2018-04-03,0,0,0,0,0,0
6,PC Building Simulator,19.99,"50,000 .. 100,000",0.0,1983,91,2018-03-27,0,0,0,0,1,0
7,PixARK,24.99,"100,000 .. 200,000",0.0,2490,65,2018-03-27,0,1,0,0,0,0
8,Far Cry 5,59.99,"500,000 .. 1,000,000",39.98,16281,70,2018-03-26,0,0,0,0,0,1
9,PWND,0.0,"100,000 .. 200,000",0.0,564,73,2018-04-06,0,1,0,0,0,0
10,Jalopy,14.99,"100,000 .. 200,000",5.99,2967,81,2018-03-28,0,1,0,0,0,0
11,Ni no Kuni II: Revenant Kingdom,59.99,"50,000 .. 100,000",19.99,994,84,2018-03-23,0,0,0,0,1,0
12,Golfing Over It with Alva Majo,4.99,"20,000 .. 50,000",0.99,427,66,2018-03-28,0,0,1,0,0,0
13,Fatal Twelve,19.99,"0 .. 20,000",24.98,25,100,2018-03-30,0,0,0,0,0,0
14,Lobotomy Corporation | Monster Management Simulation,24.99,"50,000 .. 100,000",0.0,2043,88,2018-04-09,0,0,0,0,1,0
15,The Curse of Monkey Island,6.99,"0 .. 20,000",0.0,185,95,2018-03-22,0,0,0,0,0,0
16,SINISTRY SILINIUM,4.99,"0 .. 20,000",0.0,34,67,2018-04-06,0,0,0,0,0,0
17,Devil May Cry HD Collection,29.99,"0 .. 20,000",0.0,411,83,2018-03-13,0,0,0,0,0,0
18,Sword With Sauce,5.99,"100,000 .. 200,000",0.0,3646,87,2018-03-20,0,1,0,0,0,0
19,Darwin Project,0.0,"100,000 .. 200,000",0.0,5000,84,2018-03-09,0,1,0,0,0,0
20,Train Valley 2,9.99,"0 .. 20,000",0.0,240,90,2018-03-29,0,0,0,0,0,0
21,For The King,15.99,"100,000 .. 200,000",4.99,2365,84,2018-04-19,0,1,0,0,0,0
22,Otaku's Fantasy 2,1.99,"0 .. 20,000",0.0,195,71,2018-03-30,0,0,0,0,0,0
23,AI Escort,1.99,"0 .. 20,000",0.0,194,72,2018-04-12,0,0,0,0,0,0
24,Maelstrom,19.99,"0 .. 20,000",0.0,22,89,2018-04-11,0,0,0,0,0,0
25,Extinction,59.99,"0 .. 20,000",0.0,32,33,2018-04-09,0,0,0,0,0,0
26,Cryptocurrency Clicker,1.99,"20,000 .. 50,000",0.0,107,42,2018-04-06,0,0,1,0,0,0
27,Find someone else,0.0,"0 .. 20,000",0.0,60,87,2018-04-06,0,0,0,0,0,0
28,Deployment,12.99,"0 .. 20,000",0.0,33,98,2018-04-10,0,0,0,0,0,0
29,Band of Defenders,13.99,"0 .. 20,000",0.0,69,63,2018-04-05,0,0,0,0,0,0
30,Healer's Quest,12.74,"0 .. 20,000",6.99,201,86,2018-04-18,0,0,0,0,0,0
31,Hakuoki: Edo Blossoms / /,29.99,"0 .. 20,000",12.98,24,96,2018-03-13,0,0,0,0,0,0
32,Broken Ground,0.0,"50,000 .. 100,000",0.0,29,71,2018-04-12,0,0,0,0,1,0
33,blue.,0.0,"0 .. 20,000",0.0,582,65,2018-03-21,0,0,0,0,0,0
34,Achievement Idler: Black,0.99,"0 .. 20,000",0.0,401,51,2018-04-13,0,0,0,0,0,0
35,Dungeon Of Zaar - Open Beta,0.0,"20,000 .. 50,000",14.99,63,71,2018-04-16,0,0,1,0,0,0
36,TT Isle of Man,39.99,"0 .. 20,000",0.0,2632,76,2018-03-27,0,0,0,0,0,0
37,Road Scars: Origins,0.49,"0 .. 20,000",0.49,14,100,2018-04-03,0,0,0,0,0,0
38,RUSSIA HORROR 20!8,0.99,"0 .. 20,000",0.0,206,31,2018-03-19,0,0,0,0,0,0
39,Amorous,0.0,"50,000 .. 100,000",0.0,25,76,2018-04-13,0,0,0,0,1,0
40,Ys VIII: Lacrimosa of DANA / VIII-Lacrimosa of DANA-,59.99,"20,000 .. 50,000",24.79,25,30,2018-04-16,0,0,1,0,0,0
41,Copy Kitty,14.99,"0 .. 20,000",0.0,25,98,2018-04-19,0,0,0,0,0,0
42,Surviving Mars,39.99,"100,000 .. 200,000",48.98,25,64,2018-03-15,0,1,0,0,0,0
43,Dark Rose Valkyrie,39.99,"0 .. 20,000",23.92,25,21,2018-04-10,0,0,0,0,0,0
44,Trailer Park Boys: Greasy Money,0.0,"50,000 .. 100,000",44.96,25,64,2018-04-18,0,0,0,0,1,0
45,The Outer Rim: Survivor,0.0,"0 .. 20,000",0.0,25,100,2018-04-03,0,0,0,0,0,0
47,THE KING OF FIGHTERS '97 GLOBAL MATCH,9.99,"0 .. 20,000",0.0,183,46,2018-04-03,0,0,0,0,0,0
48,Blasted Road Terror,8.99,"0 .. 20,000",0.0,26,96,2018-04-18,0,0,0,0,0,0
49,AirMech Strike,0.0,"1,000,000 .. 2,000,000",19.98,8609,84,2018-03-30,1,0,0,0,0,0
50,Iron League,0.0,"50,000 .. 100,000",0.0,278,68,2018-03-14,0,0,0,0,1,0
51,Behind the Screen,8.99,"0 .. 20,000",0.0,49,83,2018-04-03,0,0,0,0,0,0
52,Magika Land of Fantasy,0.0,"20,000 .. 50,000",0.0,50,78,2018-04-05,0,0,1,0,0,0
53,My Free Farm 2,0.0,"20,000 .. 50,000",0.0,77,44,2018-04-03,0,0,1,0,0,0
54,One Ping Only,0.0,"0 .. 20,000",0.0,72,87,2018-04-14,0,0,0,0,0,0
56,Horizon Source(),0.0,"100,000 .. 200,000",0.0,1133,50,2018-03-20,0,1,0,0,0,0
57,Game Dev Studio,9.99,"0 .. 20,000",0.0,53,84,2018-03-12,0,0,0,0,0,0
58,Ostalgie: The Berlin Wall,5.99,"0 .. 20,000",0.0,168,97,2018-03-25,0,0,0,0,0,0
59,Masters of Anima,19.99,"0 .. 20,000",0.0,46,93,2018-04-10,0,0,0,0,0,0
62,Dead In Vinland,19.99,"20,000 .. 50,000",0.0,144,82,2018-04-12,0,0,1,0,0,0
63,KOEWOTAYORINI /,0.0,"50,000 .. 100,000",0.0,364,90,2018-03-26,0,0,0,0,1,0
64,Swarmlake,0.99,"0 .. 20,000",0.0,180,94,2018-03-12,0,0,0,0,0,0
65,Fare Thee Well,0.0,"0 .. 20,000",0.0,30,100,2018-04-06,0,0,0,0,0,0
66,How To Cope With Boredom and Loneliness,0.0,"0 .. 20,000",0.0,75,90,2018-04-02,0,0,0,0,0,0
68,Super Lula Escape From Prison,0.99,"0 .. 20,000",0.0,93,93,2018-04-03,0,0,0,0,0,0
69,SAO Utils: Beta,3.99,"20,000 .. 50,000",0.0,592,73,2018-03-14,0,0,1,0,0,0
70,TOGETHER VR,12.99,"0 .. 20,000",0.0,25,68,2018-04-02,0,0,0,0,0,0
71,Solitaire Knights,0.0,"0 .. 20,000",0.0,22,59,2018-04-05,0,0,0,0,0,0
72,Lazy Galaxy,5.99,"0 .. 20,000",0.0,45,84,2018-03-22,0,0,0,0,0,0
74,Store Simulator 2018,0.99,"0 .. 20,000",0.0,13,84,2018-03-30,0,0,0,0,0,0
75,while True: learn(),6.99,"0 .. 20,000",0.0,56,85,2018-03-28,0,0,0,0,0,0
78,BattleRush,0.0,"200,000 .. 500,000",23.9,1438,67,2018-03-27,0,0,0,1,0,0
79,Marie's Room,0.0,"50,000 .. 100,000",0.0,1208,96,2018-04-13,0,0,0,0,1,0
81,Achievement Hunter: Witch,0.99,"0 .. 20,000",0.0,10,50,2018-04-07,0,0,0,0,0,0
82,-Classic Rodeo play,0.0,"0 .. 20,000",0.0,22,77,2018-03-27,0,0,0,0,0,0
83,The Elder Scrolls V: Skyrim VR,59.99,"20,000 .. 50,000",0.0,1189,86,2018-04-02,0,0,1,0,0,0
84,Forest Fortress,14.99,"0 .. 20,000",0.0,23,78,2018-04-04,0,0,0,0,0,0
85,SYNTHETIK,14.99,"0 .. 20,000",0.0,416,90,2018-03-15,0,0,0,0,0,0
86,Gamer Career Tycoon,8.99,"0 .. 20,000",0.0,21,61,2018-03-29,0,0,0,0,0,0
88,Winions: Mana Champions,0.0,"20,000 .. 50,000",0.0,37,67,2018-04-12,0,0,1,0,0,0
90,Spellsworn,0.0,"100,000 .. 200,000",0.0,578,96,2018-03-13,0,1,0,0,0,0
92,MX vs ATV All Out,39.99,"0 .. 20,000",23.92,199,50,2018-03-27,0,0,0,0,0,0
93,Tanki X,0.0,"200,000 .. 500,000",27.96,1429,77,2018-03-13,0,0,0,1,0,0
95,Squirm,1.99,"0 .. 20,000",0.0,54,86,2018-03-23,0,0,0,0,0,0
96,Atelier Lydie & Suelle ~The Alchemists and the Mysterious Paintings~,59.99,"0 .. 20,000",103.95,148,78,2018-03-27,0,0,0,0,0,0
97,Deadstep,4.99,"0 .. 20,000",0.0,25,90,2018-03-09,0,0,0,0,0,0
98,EARTHLOCK,29.99,"0 .. 20,000",0.0,35,61,2018-03-08,0,0,0,0,0,0
